dataset_name,conditioning_alpha,interpolation_weights_strategy,interpolation_weights,sktr_acc_micro,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc_micro,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50,results_csv_path
gtea,0.3,balanced,"[0.4, 0.35, 0.25]",76.07574094401757,76.2751969208736,80.07547254638207,73.91373897703497,59.37061719258029,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.3_weights_balanced.csv
gtea,0.3,trigram_heavy,"[0.15, 0.25, 0.6]",76.36114160263446,76.5468853733382,80.45493641477417,73.80962131915452,59.99666698842312,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.3_weights_trigram_heavy.csv
gtea,0.4,unigram_super_heavy,"[0.75, 0.15, 0.1]",76.63556531284303,77.12516002920579,81.2908768588311,74.98320824249957,60.8831093178591,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.4_weights_unigram_super_heavy.csv
gtea,0.4,unigram_heavy,"[0.6, 0.25, 0.15]",76.62458836443469,77.13450033990433,81.26910648244053,74.79676496188654,60.50191568751978,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.4_weights_unigram_heavy.csv
gtea,0.4,balanced,"[0.4, 0.35, 0.25]",76.63830954994512,76.74190081257521,81.00093509710045,74.32447737745592,60.34716343300344,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.4_weights_balanced.csv
gtea,0.4,trigram_heavy,"[0.15, 0.25, 0.6]",76.89626783754116,76.56288500141859,81.44374470156598,74.56560594964465,60.299379932017814,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.4_weights_trigram_heavy.csv
gtea,0.5,unigram_super_heavy,"[0.75, 0.15, 0.1]",77.08562019758507,77.42918859000504,81.7337264682,75.38986737255459,60.917652942775945,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.5_weights_unigram_super_heavy.csv
gtea,0.5,unigram_heavy,"[0.6, 0.25, 0.15]",77.14050493962678,77.2386647259972,81.55771494861558,75.11445738507756,60.74699251749627,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.5_weights_unigram_heavy.csv
gtea,0.5,balanced,"[0.4, 0.35, 0.25]",77.08562019758507,77.01085736524797,81.44482601115729,74.80707573235415,60.21638870681237,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.5_weights_balanced.csv
gtea,0.5,trigram_heavy,"[0.15, 0.25, 0.6]",77.10482985729968,76.65909355366274,81.4662973776556,75.05256270528352,60.16138008557711,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.5_weights_trigram_heavy.csv
gtea,0.6,unigram_super_heavy,"[0.75, 0.15, 0.1]",77.48902305159166,77.37235739299982,82.12604141519296,75.99105301099094,61.40879111398619,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.6_weights_unigram_super_heavy.csv
gtea,0.6,unigram_heavy,"[0.6, 0.25, 0.15]",77.57135016465423,77.24075213231846,82.0215690704333,75.90454962835904,61.78589170297909,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.6_weights_unigram_heavy.csv
gtea,0.6,balanced,"[0.4, 0.35, 0.25]",77.54390779363337,77.21736066870962,81.99001422568584,75.89200860031838,61.063462541254694,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.6_weights_balanced.csv
gtea,0.6,trigram_heavy,"[0.15, 0.25, 0.6]",77.58507135016465,77.21587257347153,82.15396375133749,75.73344965043461,60.77888757202498,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.6_weights_trigram_heavy.csv
gtea,0.7,unigram_super_heavy,"[0.75, 0.15, 0.1]",77.73600439077937,77.41102006557425,82.34795587486964,76.18483792284728,61.43795919268524,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.7_weights_unigram_super_heavy.csv
gtea,0.7,unigram_heavy,"[0.6, 0.25, 0.15]",77.7469813391877,77.28766961327642,82.28923268018222,76.12151452585047,61.38224824852369,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.7_weights_unigram_heavy.csv
gtea,0.7,balanced,"[0.4, 0.35, 0.25]",77.83754116355654,76.97097242157925,82.22317917535246,76.07257057318434,61.25934580078689,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.7_weights_balanced.csv
gtea,0.7,trigram_heavy,"[0.15, 0.25, 0.6]",77.88419319429198,76.78846930715393,82.05721716230548,75.9315897604083,61.027405348094746,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.7_weights_trigram_heavy.csv
gtea,0.8,unigram_super_heavy,"[0.75, 0.15, 0.1]",77.92535675082327,77.31224002325429,82.4650153903129,76.11138309746256,61.45533019978547,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.8_weights_unigram_super_heavy.csv
gtea,0.8,unigram_heavy,"[0.6, 0.25, 0.15]",77.93358946212953,77.20063288039715,82.41255372768173,76.0629569473415,61.410939562174505,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.8_weights_unigram_heavy.csv
gtea,0.8,balanced,"[0.4, 0.35, 0.25]",77.95005488474203,76.95131112372245,82.33100895171663,76.00120431686058,61.25094205253235,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.8_weights_balanced.csv
gtea,0.8,trigram_heavy,"[0.15, 0.25, 0.6]",77.99121844127332,76.95131112372245,82.33100895171663,76.11109442675068,61.25094205253235,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.8_weights_trigram_heavy.csv
gtea,0.9,unigram_super_heavy,"[0.75, 0.15, 0.1]",78.05433589462129,76.7749241225365,82.00678182387522,76.13353685142852,61.048414099783535,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.9_weights_unigram_super_heavy.csv
gtea,0.9,unigram_heavy,"[0.6, 0.25, 0.15]",78.05433589462129,76.7749241225365,82.00678182387522,76.13353685142852,61.048414099783535,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.9_weights_unigram_heavy.csv
gtea,0.9,balanced,"[0.4, 0.35, 0.25]",78.01042810098792,76.52399041572043,81.88167175020148,76.01962740425043,60.95585138299721,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.9_weights_balanced.csv
gtea,0.9,trigram_heavy,"[0.15, 0.25, 0.6]",78.04335894621295,76.20729322402325,81.71028669029671,75.86508507985404,60.83055797238597,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.9_weights_trigram_heavy.csv
